enumeration
Test#	time	sum	correct
1	0.000523	239	Y
2	0.000607	322	Y
3	0.000602	305	Y
4	0.000531	271	Y
5	0.000519	281	Y
6	0.000522	215	Y
7	0.000519	207	Y
8	0.000533	309	Y
9	0.000465	195	Y


better enumeration
Test#	time	sum	correct
1	0.000016	239	Y
2	0.000016	322	Y
3	0.000018	305	Y
4	0.000021	271	Y
5	0.000020	281	Y
6	0.000021	215	Y
7	0.000018	207	Y
8	0.000015	309	Y
9	0.000018	195	Y


divide and conquer
Test#	time	sum	correct
1	0.000038	239	Y
2	0.000031	322	Y
3	0.000030	305	Y
4	0.000030	271	Y
5	0.000031	281	Y
6	0.000031	215	Y
7	0.000030	207	Y
8	0.000032	309	Y
9	0.000031	195	Y

