enumeration
elements        time    sum
100     0.000000        219
200     0.000000        219
300     0.015000        436
400     0.031000        500
500     0.063000        657
600     0.109000        657
700     0.172000        657
800     0.250000        657
900     0.344000        657


better enumeration
elements        time    sum
100     0.000000        219
200     0.000000        219
300     0.000000        436
400     0.000000        500
500     0.016000        657
600     0.000000        657
700     0.000000        657
800     0.000000        657
900     0.000000        657
1000    0.000000        657
2000    0.000000        869
3000    0.015000        869
4000    0.031000        869
5000    0.047000        869
6000    0.078000        933
7000    0.079000        1162
8000    0.125000        1162
9000    0.156000        1162


divide and conquer
elements        time    sum
100     0.000000        219
200     0.000000        219
300     0.000000        436
400     0.000000        500
500     0.000000        657
600     0.000000        657
700     0.000000        657
800     0.000000        657
900     0.000000        657
1000    0.000000        657
2000    0.015000        869
3000    0.000000        869
4000    0.032000        869
5000    0.047000        869
6000    0.046000        933
7000    0.079000        1162
8000    0.125000        1162
9000    0.140000        1162
